==18627== Memcheck, a memory error detector
==18627== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==18627== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==18627== Command: RunCollatz.c++.app
968633 897213 1
657754 932812 1
561676 223767 1
484852 193547 1
628393 598991 1
520667 55513 1
450819 945917 1
171679 513592 1
578928 378801 1
623879 951279 1
971147 57168 1
636090 781133 1
347583 194336 1
722771 192015 1
823411 563136 1
789040 792043 1
976700 446793 1
724854 54728 1
186911 726057 1
248274 815303 1
325047 768940 1
387167 775865 1
714857 558846 1
805808 810136 1
937646 946038 1
277766 425144 1
3205 430207 1
206276 867139 1
624543 929046 1
575506 447953 1
8534 364545 1
756347 501585 1
327689 997552 1
556312 514600 1
723608 320938 1
846254 565006 1
89877 233421 1
857222 321085 1
308618 663029 1
647572 762615 1
125418 925337 1
187758 644975 1
355544 910385 1
512113 496438 1
839431 87618 1
944390 364316 1
968514 700736 1
865900 296203 1
214639 938564 1
327154 938246 1
259501 173407 1
19603 865729 1
923179 876824 1
703166 231796 1
56204 350737 1
510762 181621 1
792426 698519 1
826595 147969 1
608904 855060 1
160758 964686 1
459029 105147 1
845353 427543 1
322234 227604 1
240097 536872 1
166167 567250 1
991469 942019 1
257008 11071 1
807748 180187 1
404246 27265 1
928334 460449 1
378001 955448 1
158421 170426 1
653966 501368 1
834746 779221 1
356427 995503 1
260258 815455 1
617001 105610 1
759349 939234 1
849566 515797 1
992457 532084 1
83046 500277 1
474103 856406 1
511347 798202 1
552944 431944 1
825466 481277 1
892392 203466 1
953076 567165 1
890244 607042 1
68532 724989 1
902614 424958 1
236844 679224 1
756764 853844 1
301185 32465 1
309430 150750 1
548261 301886 1
682834 147659 1
802163 673288 1
4064 829861 1
471489 557007 1
261805 813306 1
554635 670548 1
16771 507711 1
237712 423366 1
631104 306243 1
664707 50069 1
247552 901550 1
729292 520668 1
755393 546829 1
553132 64822 1
697578 101392 1
883060 380411 1
249050 201574 1
53698 769465 1
547786 41538 1
326471 325942 1
854843 397458 1
996490 387966 1
905168 750553 1
811331 52623 1
573148 476037 1
102691 337051 1
893938 348335 1
857718 649331 1
895163 410849 1
230504 109092 1
28593 113563 1
5855 277642 1
831488 575904 1
47107 379274 1
617442 889929 1
705215 988636 1
287386 218056 1
376601 708905 1
968609 704284 1
761527 58108 1
696672 380570 1
395158 590610 1
245256 252876 1
239940 656770 1
180076 986795 1
765861 208668 1
616710 771715 1
2662 448197 1
347619 566120 1
343822 965060 1
972400 49037 1
953695 776138 1
783444 846648 1
485042 752052 1
550931 762921 1
326511 763954 1
659842 721669 1
354563 905097 1
490896 110854 1
561866 670971 1
97649 327726 1
395991 714358 1
99441 915004 1
678906 963411 1
997475 22728 1
928470 969874 1
588116 398516 1
746011 371559 1
245163 747405 1
639963 312445 1
510325 966473 1
592751 170166 1
204493 947313 1
591614 695388 1
574519 669831 1
882711 188519 1
997556 278701 1
419228 613348 1
710056 98133 1
576758 707530 1
637212 21579 1
677403 225327 1
420095 939766 1
113238 181609 1
687170 269552 1
10406 713846 1
236024 603156 1
400363 956869 1
66820 991976 1
652256 157690 1
661806 534966 1
346208 175713 1
330018 281787 1
305413 40073 1
896272 882170 1
263954 533483 1
420101 941357 1
275162 356547 1
397474 904751 1
54507 600995 1
174302 581264 1
314840 926677 1
700771 715202 1
883545 767591 1
223529 535801 1
441632 401686 1
587118 304192 1
93750 433488 1
585978 399162 1
473560 482249 1
797684 737514 1
532084 734136 1
195222 323597 1
90682 109047 1
228347 145188 1
710041 402648 1
726452 24880 1
845676 427222 1
256433 729221 1
711164 996313 1
781373 669148 1
914350 884842 1
973339 8099 1
318329 559316 1
923613 308241 1
557917 237648 1
562106 606352 1
971783 273679 1
929948 578816 1
382725 158294 1
724003 92765 1
77293 966806 1
633996 439320 1
910380 890428 1
168540 137895 1
886740 466264 1
807042 317441 1
351106 780380 1
325539 669434 1
856048 765503 1
977674 930316 1
3150 56131 1
536667 974932 1
329809 466614 1
553747 712533 1
141259 794102 1
805297 734903 1
277259 439292 1
690574 187638 1
846071 859114 1
841885 249162 1
325377 648926 1
566602 192834 1
945658 408493 1
378620 318057 1
173995 872645 1
248372 693497 1
928776 785038 1
668428 258584 1
768003 738527 1
971117 425613 1
48980 292765 1
676867 842590 1
248409 367440 1
546580 610831 1
226553 388464 1
859993 68282 1
553741 942946 1
777467 499398 1
351438 156086 1
817454 41785 1
28731 65825 1
735281 957506 1
367214 920060 1
216089 135216 1
174938 703557 1
77180 223917 1
512674 754046 1
66507 761082 1
121486 129438 1
371912 864390 1
517901 748256 1
449023 71641 1
691202 226490 1
571039 558991 1
382575 904844 1
600775 927657 1
487021 336055 1
885162 854234 1
256115 617603 1
505802 431052 1
837511 582981 1
171321 350184 1
337027 754179 1
627617 974864 1
883616 515881 1
839253 401516 1
780488 804628 1
989508 471689 1
31117 76898 1
547032 930043 1
981742 147806 1
857700 468762 1
483861 259213 1
839347 256327 1
393167 345148 1
203730 230678 1
928129 375050 1
97213 781507 1
129228 241182 1
272722 529195 1
273414 111974 1
930710 53901 1
432953 436570 1
41942 464069 1
513467 588973 1
910464 11560 1
736778 284515 1
480321 736990 1
60079 836020 1
509668 453246 1
181167 713398 1
200275 625647 1
88447 297487 1
407153 734027 1
55020 679874 1
263221 328433 1
308200 710283 1
382334 741152 1
146852 940627 1
721573 176670 1
529599 148388 1
188230 782728 1
949254 184902 1
36070 9332 1
20921 545737 1
978929 718440 1
259134 179203 1
344086 347581 1
993042 267591 1
597959 48061 1
463816 861179 1
376494 772015 1
571461 275179 1
29519 234664 1
215805 267443 1
411334 261755 1
932182 115915 1
44482 881435 1
300816 80551 1
890766 838089 1
626288 869695 1
556528 401773 1
565249 900613 1
265705 558290 1
168203 863663 1
122703 632019 1
724842 15548 1
920385 812654 1
290726 466255 1
563670 22882 1
733697 975003 1
284636 665878 1
90917 329117 1
63664 908084 1
926020 954430 1
746172 68659 1
340476 302699 1
470431 422076 1
719664 736136 1
980366 887866 1
116150 619420 1
36236 840991 1
634967 472973 1
169997 925692 1
939227 733666 1
948573 189276 1
225020 749560 1
371505 832288 1
78676 435169 1
740371 521047 1
905950 2895 1
589705 762777 1
305593 60136 1
184852 541608 1
312623 681569 1
429474 428772 1
300988 982061 1
786115 935954 1
455033 956111 1
377997 394260 1
206128 842921 1
583535 431147 1
592480 955039 1
779786 187508 1
906559 520156 1
708554 812508 1
39402 298259 1
==18627== 
==18627== HEAP SUMMARY:
==18627==     in use at exit: 122,880 bytes in 6 blocks
==18627==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==18627== 
==18627== LEAK SUMMARY:
==18627==    definitely lost: 0 bytes in 0 blocks
==18627==    indirectly lost: 0 bytes in 0 blocks
==18627==      possibly lost: 0 bytes in 0 blocks
==18627==    still reachable: 122,880 bytes in 6 blocks
==18627==         suppressed: 0 bytes in 0 blocks
==18627== Rerun with --leak-check=full to see details of leaked memory
==18627== 
==18627== For counts of detected and suppressed errors, rerun with: -v
==18627== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 17 from 6)
